Meditation,Attention,F8 -T4 ,F7 -T3 
65,48,744,-140
68,48,743,-138
68,53,741,-136
63,49,744,-137
62,52,744,-136
61,50,744,-136
63,54,741,-136
61,52,741,-138
62,53,742,-138
66,50,742,-135
67,48,744,-137
64,51,745,-137
64,51,743,-134
65,51,744,-136
62,50,744,-138
63,52,742,-136
63,48,743,-135
66,52,742,-137
67,50,742,-138
65,47,743,-137
60,49,741,-134
63,47,742,-135
65,49,740,-141
64,49,742,-138
66,51,739,-138
64,53,739,-132
63,47,741,-135
64,49,742,-136
66,49,744,-137
66,49,740,-136
65,53,736,-139
67,49,741,-139
64,48,739,-137
64,52,737,-137
66,51,740,-137
64,52,740,-140
64,55,737,-134
60,57,735,-137
62,54,736,-137
67,50,741,-137
64,48,743,-141
64,51,738,-134
63,55,736,-134
64,57,737,-140
67,50,743,-138
67,48,742,-135
65,52,739,-138
64,50,741,-139
62,49,742,-136
65,45,744,-136
66,51,741,-134
63,51,742,-134
66,50,743,-134
62,52,746,-140
60,51,745,-142
62,52,743,-138
64,49,745,-137
64,48,744,-136
64,49,745,-138
65,52,742,-140
60,56,740,-138
61,54,741,-135
63,51,742,-136
68,50,743,-139
65,51,742,-135
62,50,743,-139
66,54,741,-141
65,52,742,-137
66,52,744,-137
68,53,745,-136
65,51,743,-137
69,52,740,-135
67,50,741,-139
64,53,740,-136
66,51,743,-135
67,50,742,-138
64,51,739,-136
64,53,737,-133
64,54,734,-136
65,53,737,-138
63,51,740,-137
64,50,742,-137
64,50,742,-137
60,48,739,-135
67,50,740,-139
67,54,738,-137
66,56,739,-137
66,53,740,-138
64,54,741,-139
64,52,741,-135
66,53,742,-133
67,53,742,-136
65,51,743,-137
69,52,742,-135
69,53,741,-136
65,52,741,-136
62,49,740,-135
63,52,742,-135
65,54,741,-135
63,51,742,-136
62,45,744,-134
64,50,743,-135
65,47,741,-138
63,48,742,-136
65,49,741,-132
60,53,738,-132
64,49,741,-135
63,51,739,-138
63,54,741,-139
65,53,739,-136
61,52,738,-137
61,50,739,-137
65,48,740,-138
65,51,741,-135
67,54,736,-136
67,51,737,-138
66,47,739,-138
67,47,740,-138
60,52,738,-136
59,52,739,-136
65,51,737,-136
64,48,739,-137
64,55,733,-135
65,51,739,-138
64,53,739,-136
66,53,738,-136
67,51,738,-137
70,50,741,-136
65,49,741,-139
64,53,741,-137
60,55,740,-139
65,49,742,-134
62,47,743,-133
60,49,741,-135
60,52,741,-138
61,51,744,-138
63,51,745,-137
63,51,743,-134
66,53,742,-134
70,53,741,-138
68,49,742,-135
65,49,741,-134
63,51,741,-135
66,54,741,-137
66,51,742,-135
68,49,741,-138
64,52,737,-135
64,52,738,-136
64,54,739,-138
64,48,744,-139
65,54,739,-134
64,50,740,-136
62,53,735,-138
62,49,739,-136
62,53,737,-136
60,50,739,-136
59,55,737,-135
60,52,741,-138
64,50,742,-139
67,50,741,-137
63,51,738,-133
64,51,742,-136
67,45,745,-136
66,48,744,-138
63,56,736,-136
61,54,735,-136
64,53,733,-136
68,53,738,-138
65,53,740,-137
64,51,737,-135
63,51,739,-135
67,49,739,-137
69,55,739,-138
65,54,736,-139
63,51,739,-137
63,50,742,-138
62,52,740,-138
64,52,740,-137
66,54,739,-138
68,55,741,-137
66,55,742,-137
64,54,743,-136
65,52,741,-136
65,52,743,-136
65,50,740,-132
64,51,738,-133
67,54,737,-134
65,55,739,-137
68,52,742,-137
66,48,742,-133
65,50,743,-135
65,48,743,-139
62,52,740,-141
60,54,741,-138
64,53,742,-135
64,52,742,-133
64,52,742,-135
65,51,744,-135
64,49,747,-137
65,47,746,-140
69,51,744,-140
68,49,745,-136
66,51,745,-136
66,51,744,-138
64,51,741,-137
65,49,744,-136
69,47,744,-139
69,53,738,-138
64,53,733,-137
60,49,738,-135
64,48,739,-137
63,52,739,-137
65,50,739,-136
65,50,737,-138
62,50,737,-134
59,51,737,-136
64,52,736,-139
65,51,739,-138
63,48,739,-140
68,49,741,-137
68,49,743,-138
66,49,741,-139
67,51,739,-137
64,54,735,-139
64,57,739,-136
63,51,741,-137
63,50,741,-139
64,51,742,-138
69,53,740,-136
67,52,742,-140
63,54,741,-137
63,55,742,-138
65,50,746,-141
67,49,746,-144
63,49,746,-141
64,52,744,-140
66,52,742,-140
62,51,742,-138
67,52,742,-139
65,51,743,-137
64,51,743,-138
65,52,738,-136
65,54,739,-134
65,53,739,-136
69,55,741,-137
68,51,741,-141
66,54,739,-136
65,52,739,-136
68,51,742,-136
67,53,740,-137
62,54,738,-136
64,49,743,-133
62,51,742,-135
62,51,743,-139
61,52,741,-139
65,50,742,-135
67,48,742,-136
65,48,742,-133
66,48,741,-135
66,50,740,-135
67,49,740,-139
67,47,741,-135
68,48,742,-132
70,51,742,-137
67,48,742,-138
65,46,742,-139
61,48,741,-135
60,51,739,-137
64,54,736,-134
65,54,736,-134
64,50,736,-139
65,46,741,-140
65,49,741,-139
67,50,737,-134
60,53,737,-137
61,56,736,-137
61,54,736,-137
64,52,738,-136
62,54,737,-140
66,50,739,-138
63,50,740,-137
65,52,739,-136
68,55,740,-139
64,54,742,-139
61,53,740,-135
63,50,739,-134
62,53,740,-138
63,53,742,-140
68,51,742,-136
66,52,741,-135
64,52,741,-135
61,49,739,-138
63,51,741,-137
64,51,740,-137
64,52,740,-134
63,49,741,-135
65,48,743,-139
66,52,740,-137
64,52,738,-135
64,52,740,-135
62,49,742,-137
66,51,742,-137
62,51,741,-137
62,52,740,-136
62,51,739,-136
65,51,742,-137
66,51,741,-137
66,50,742,-136
65,49,743,-136
65,53,740,-139
66,55,738,-138
64,55,740,-136
64,56,739,-135
67,52,742,-135
65,51,742,-135
65,52,741,-136
62,54,741,-134
65,56,741,-135
67,55,739,-136
67,53,740,-137
65,53,740,-138
65,50,740,-138
65,53,740,-132
59,51,739,-134
62,51,742,-135
67,51,740,-134
69,52,739,-135
63,49,741,-137
64,46,743,-139
65,49,742,-136
63,52,738,-133
66,58,735,-136
69,52,742,-138
65,53,737,-138
67,52,739,-134
65,54,735,-133
65,54,736,-139
65,53,740,-137
67,53,741,-138
64,53,742,-137
63,51,741,-134
62,51,741,-133
64,51,743,-137
64,53,741,-138
62,55,741,-142
62,55,740,-136
61,50,742,-134
62,49,741,-135
61,50,740,-137
64,56,736,-135
68,56,736,-135
65,54,740,-135
64,52,743,-138
63,53,741,-137
63,55,741,-137
67,50,742,-135
63,49,740,-139
62,47,742,-137
63,48,741,-135
63,51,740,-136
66,54,739,-136
68,54,737,-137
66,53,738,-136
65,53,739,-138
62,50,741,-136
63,56,737,-135
64,51,738,-135
67,51,739,-136
62,51,738,-138
63,53,738,-136
67,53,738,-140
66,52,738,-141
67,49,741,-135
67,47,742,-132
64,47,744,-140
62,51,742,-137
61,53,741,-134
64,54,742,-136
64,49,744,-139
66,53,740,-136
63,51,740,-136
63,53,738,-134
64,51,741,-134
65,47,743,-137
70,47,741,-138
66,51,738,-135
63,51,741,-136
62,48,743,-136
67,46,743,-137
65,50,738,-134
65,55,735,-137
61,52,739,-137
65,53,738,-137
66,46,743,-135
66,47,742,-136
67,51,741,-138
64,55,738,-138
66,57,738,-136
62,55,738,-136
63,49,742,-134
68,53,738,-136
64,52,742,-137
63,55,739,-137
62,52,740,-136
66,53,741,-137
66,52,740,-136
66,48,739,-133
66,50,738,-135
66,52,739,-135
65,49,742,-136
65,53,741,-136
66,52,741,-137
66,53,741,-136
65,46,743,-134
63,48,740,-138
64,54,741,-137
65,54,739,-139
65,52,738,-138
64,48,738,-137
64,55,735,-134
65,54,736,-136
63,49,741,-138
63,51,740,-136
64,50,740,-138
66,50,740,-137
64,52,739,-135
64,50,738,-136
63,52,736,-136
64,53,738,-136
61,54,737,-138
62,54,739,-138
61,49,742,-139
65,50,742,-135
64,52,741,-134
64,53,741,-138
63,51,741,-140
64,50,740,-139
62,49,741,-137
66,51,741,-135
67,51,742,-136
68,51,741,-137
67,53,742,-135
66,51,740,-137
66,50,741,-135
65,49,741,-135
64,49,742,-134
67,54,741,-135
68,54,742,-134
67,52,742,-133
68,52,740,-138
67,51,738,-136
65,53,738,-133
69,49,743,-136
66,47,744,-139
65,45,742,-136
66,46,739,-136
65,53,738,-135
65,50,739,-133
65,49,740,-138
63,54,738,-136
66,52,740,-133
67,48,741,-134
67,47,742,-140
66,52,741,-139
69,51,741,-137
69,54,736,-132
64,54,737,-134
66,54,734,-133
62,53,736,-138
64,52,739,-139
66,48,740,-134
66,48,740,-136
63,51,738,-137
64,49,740,-138
66,51,740,-140
66,50,742,-138
64,49,743,-136
62,49,743,-136
65,49,743,-133
64,49,742,-139
61,50,743,-138
62,46,743,-136
66,50,742,-137
67,46,744,-137
65,50,742,-135
64,48,742,-135
64,51,739,-135
63,48,738,-139
69,48,741,-140
66,51,736,-135
65,55,734,-131
69,53,736,-135
68,48,741,-137
67,47,739,-132
63,49,739,-133
66,49,740,-137
66,50,741,-140
65,50,739,-138
69,50,739,-135
68,50,741,-136
69,50,740,-138
64,48,742,-139
60,49,740,-136
61,53,740,-135
60,49,744,-135
59,54,739,-137
63,51,739,-136
67,47,740,-137
66,48,742,-137
68,51,741,-137
67,52,741,-136
68,50,741,-132
67,51,743,-133
64,54,741,-133
61,53,744,-138
61,53,742,-136
69,50,741,-134
69,50,739,-132
67,51,739,-137
65,51,740,-137
63,53,741,-136
63,52,742,-136
64,50,743,-137
64,51,741,-135
66,52,740,-137
67,56,738,-138
68,50,740,-135
69,50,741,-136
69,52,740,-139
64,49,741,-135
66,49,741,-137
69,46,744,-136
66,50,742,-136
61,53,742,-136
65,52,741,-139
66,49,743,-137
67,48,744,-133
66,48,744,-135
62,50,741,-135
62,48,742,-135
61,51,741,-136
62,53,739,-137
67,54,737,-134
65,54,737,-137
62,52,739,-139
60,49,740,-136
62,50,742,-138
64,48,744,-140
66,51,742,-137
67,51,742,-133
66,50,742,-132
62,51,740,-135
61,52,739,-136
60,53,740,-134
65,49,741,-137
64,46,740,-135
64,47,738,-136
66,45,746,-134
66,52,741,-131
67,52,740,-134
66,53,737,-139
62,53,737,-134
64,49,739,-131
64,45,744,-136
61,45,743,-136
66,49,740,-136
64,52,739,-139
63,53,739,-138
67,51,739,-139
66,47,739,-136
64,53,735,-135
64,52,738,-136
64,48,740,-137
64,48,741,-136
69,52,738,-136
67,56,734,-138
63,53,737,-137
65,49,739,-135
68,50,741,-136
66,52,743,-136
64,55,740,-138
63,55,741,-136
62,54,741,-139
63,53,739,-138
65,55,738,-138
67,49,743,-139
69,49,744,-135
66,51,741,-134
65,50,741,-133
65,55,739,-136
61,50,741,-141
64,51,739,-138
62,48,740,-135
67,54,737,-135
66,50,739,-137
65,48,740,-139
69,53,736,-137
71,54,737,-134
66,56,733,-136
65,54,735,-136
67,53,735,-137
64,56,735,-138
65,53,738,-137
64,51,738,-143
63,51,737,-139
64,52,736,-134
64,47,740,-136
64,48,742,-134
63,46,744,-133
63,47,743,-134
63,49,743,-137
62,51,742,-139
60,53,742,-138
64,54,742,-137
66,53,744,-139
63,48,744,-140
62,47,747,-139
66,50,745,-134
63,52,743,-135
64,53,740,-138
64,52,742,-136
65,51,744,-138
62,52,744,-135
67,54,742,-137
69,54,742,-139
65,56,742,-142
63,50,744,-138
64,52,741,-135
64,51,739,-134
64,53,739,-137
65,53,739,-136
65,52,741,-138
64,53,738,-137
64,52,739,-139
63,51,738,-136
63,52,741,-140
62,50,741,-135
63,51,741,-133
64,57,739,-134
66,55,740,-137
66,54,740,-136
63,47,743,-138
65,50,738,-136
67,53,737,-134
67,55,735,-134
67,52,737,-136
62,52,735,-135
62,51,739,-134
63,51,736,-136
62,53,736,-138
61,52,736,-138
63,54,735,-139
64,50,739,-138
66,49,736,-136
64,54,734,-138
66,55,735,-138
68,53,738,-138
65,50,737,-137
64,49,736,-136
65,47,738,-136
65,46,741,-137
63,46,740,-134
62,51,739,-136
62,54,738,-136
65,53,740,-136
66,54,738,-136
64,50,740,-139
65,52,740,-138
65,52,739,-133
64,54,739,-134
65,54,738,-137
63,54,738,-136
65,54,737,-134
66,53,739,-136
66,48,740,-136
67,51,742,-134
64,52,741,-134
64,52,738,-136
67,51,737,-134
65,55,740,-135
64,47,743,-138
62,53,738,-134
64,56,737,-136
64,51,741,-138
66,50,742,-138
67,54,739,-133
66,52,740,-132
65,47,742,-135
65,46,742,-136
64,51,741,-136
63,51,741,-134
64,54,739,-137
65,56,739,-137
65,48,741,-138
63,50,742,-137
63,48,741,-135
64,45,743,-137
62,45,744,-137
66,50,743,-137
70,51,743,-135
63,51,742,-135
60,51,741,-137
64,50,740,-136
62,47,743,-135
64,50,740,-133
64,49,739,-134
62,52,739,-135
67,46,741,-136
67,50,740,-136
64,48,741,-137
67,51,739,-135
62,51,740,-137
63,52,739,-137
64,55,738,-134
63,53,738,-135
67,52,738,-138
62,52,738,-142
63,49,740,-138
62,52,738,-138
62,56,738,-137
63,57,734,-136
65,57,737,-134
62,52,740,-139
65,47,740,-136
62,48,738,-138
63,58,736,-136
62,60,734,-135
58,53,735,-135
59,52,737,-137
64,52,740,-139
61,49,741,-137
63,51,739,-134
63,54,738,-136
63,51,741,-138
65,51,741,-139
66,47,743,-133
69,51,739,-134
69,52,739,-136
68,52,738,-137
64,52,738,-134
65,52,735,-133
66,52,738,-135
65,46,741,-137
61,51,741,-136
61,51,739,-134
65,52,739,-135
68,53,738,-137
67,56,739,-137
65,53,741,-138
63,54,736,-133
67,52,734,-136
64,51,738,-136
64,50,738,-136
65,52,740,-136
66,47,739,-139
70,49,743,-139
63,51,741,-140
61,51,740,-136
65,50,740,-138
64,49,739,-136
64,52,737,-136
65,50,738,-139
67,49,738,-139
69,53,739,-137
69,53,737,-136
67,56,737,-136
67,54,738,-133
68,54,738,-135
67,50,739,-139
66,53,737,-136
65,51,736,-135
66,48,741,-136
63,50,743,-137
63,51,741,-137
63,53,736,-136
63,49,738,-142
67,48,738,-138
69,48,739,-133
66,50,736,-134
65,53,737,-139
66,54,738,-137
66,54,737,-135
66,51,738,-137
65,55,737,-137
64,50,740,-135
66,50,739,-135
62,55,737,-136
61,52,740,-135
65,47,742,-135
64,47,741,-135
64,49,741,-134
66,52,741,-135
63,51,740,-135
65,54,740,-136
66,54,738,-136
64,54,738,-136
62,49,739,-135
61,48,742,-135
65,48,740,-138
72,47,741,-137
67,49,741,-137
65,50,741,-136
66,51,739,-135
60,47,741,-136
60,52,742,-141
64,47,742,-136
65,50,739,-133
65,48,741,-136
65,47,742,-138
64,50,739,-136
65,51,739,-135
63,55,739,-134
65,50,741,-136
65,50,739,-137
64,49,740,-134
64,54,740,-132
65,53,738,-136
65,52,740,-136
65,48,742,-133
68,47,743,-132
63,48,741,-135
64,51,739,-139
65,49,741,-138
65,52,741,-130
70,52,741,-134
65,48,742,-136
67,48,742,-137
64,48,742,-134
63,49,741,-137
62,53,736,-137
64,53,737,-136
66,55,736,-141
61,48,743,-136
65,48,740,-136
64,49,740,-135
63,51,737,-137
66,52,737,-138
67,53,735,-137
67,52,736,-135
66,55,737,-135
69,49,738,-137
68,54,739,-135
65,48,743,-138
63,53,741,-137
64,51,742,-136
62,47,741,-136
63,50,741,-139
65,52,739,-136
68,50,739,-137
66,52,739,-139
63,48,740,-139
62,49,738,-136
65,52,737,-136
64,52,738,-137
66,57,730,-137
67,53,733,-137
65,55,734,-138
64,54,734,-135
63,54,734,-136
64,50,738,-136
63,49,738,-138
66,49,739,-136
66,50,740,-137
66,54,738,-139
64,54,737,-140
59,53,737,-137
64,53,739,-133
69,52,740,-136
67,55,740,-136
64,50,741,-133
64,53,742,-134
63,52,742,-138
65,50,744,-141
67,52,742,-139
69,51,742,-136
63,48,742,-134
64,45,742,-136
65,53,738,-137
65,57,739,-136
63,52,742,-137
66,50,744,-135
64,51,743,-134
66,52,742,-138
65,50,744,-139
65,46,745,-141
68,49,747,-135
66,52,745,-136
64,53,745,-140
65,55,744,-135
64,50,744,-135
64,53,741,-135
65,52,742,-138
65,51,742,-138
65,53,739,-137
65,54,738,-134
62,53,738,-133
62,54,740,-137
63,53,737,-139
66,52,737,-137
63,51,739,-135
65,45,745,-133
68,47,740,-136
63,52,735,-140
62,53,736,-141
64,52,736,-138
63,52,739,-137
66,52,738,-136
68,53,737,-138
67,52,739,-137
66,56,737,-133
65,51,735,-136
64,51,739,-138
63,52,739,-135
63,51,736,-131
66,51,736,-134
66,57,734,-137
64,55,735,-138
63,54,736,-137
64,52,738,-138
66,52,738,-139
67,56,735,-136
63,55,737,-135
64,53,742,-140
63,50,742,-138
65,49,739,-136
67,52,738,-136
67,51,741,-138
65,50,741,-136
67,49,743,-137
68,51,742,-138
67,52,741,-137
67,52,738,-138
67,51,739,-138
68,52,740,-140
67,53,740,-138
68,50,741,-139
65,51,742,-140
67,49,743,-139
67,50,742,-135
62,52,737,-134
61,55,736,-135
60,52,738,-137
67,48,741,-137
69,54,739,-135
64,53,738,-135
63,51,740,-134
62,45,746,-135
63,48,742,-138
64,50,740,-136
62,52,739,-134
67,53,741,-137
64,50,744,-138
66,50,744,-138
64,47,743,-136
67,49,739,-132
66,53,740,-136
67,50,738,-136
65,51,737,-136
66,53,736,-134
65,55,735,-136
65,54,740,-137
64,47,742,-139
62,50,741,-138
65,51,740,-137
64,52,740,-137
62,52,739,-138
63,55,742,-137
65,54,744,-137
61,53,743,-138
63,50,742,-134
61,48,743,-137
63,53,740,-138
64,52,737,-139
61,53,736,-137
63,54,738,-136
64,51,736,-134
60,49,738,-135
63,50,736,-138
65,44,742,-137
65,52,737,-142
63,48,737,-136
65,51,736,-133
70,51,740,-133
63,50,741,-132
62,48,741,-138
62,53,739,-140
63,54,739,-137
68,52,738,-134
67,51,739,-133
66,53,738,-137
62,50,743,-137
65,53,741,-137
64,55,740,-137
64,53,741,-140
63,49,744,-137
62,50,744,-135
63,51,743,-136
69,54,740,-139
66,51,739,-140
66,52,738,-137
65,49,739,-134
64,52,737,-134
63,50,740,-139
65,52,740,-136
66,51,740,-135
67,54,740,-137
66,53,739,-136
65,50,740,-135
63,55,737,-138
62,51,741,-136
65,51,740,-137
65,51,761,-140
71,44,763,-138
68,45,766,-139
66,48,760,-137
65,52,759,-136
67,54,760,-140
66,51,761,-138
63,54,758,-134
64,49,758,-136
65,50,760,-143
68,51,761,-139
70,50,761,-140
63,48,759,-143
66,50,763,-138
62,45,763,-141
68,45,762,-137
64,47,763,-136
67,49,761,-138
66,52,760,-139
66,49,760,-140
68,49,761,-138
62,53,756,-136
64,47,761,-136
66,50,759,-138
62,52,761,-138
64,56,756,-138
63,52,757,-137
62,52,757,-140
68,49,760,-139
68,51,761,-137
66,51,762,-139
65,49,762,-140
66,48,762,-142
64,44,761,-141
66,49,759,-138
67,51,760,-136
66,50,761,-133
66,49,762,-138
67,48,763,-138
64,53,757,-137
62,52,755,-137
64,55,756,-140
67,49,759,-137
63,52,759,-138
63,48,758,-140
68,45,759,-139
67,47,761,-134
67,53,757,-136
63,50,754,-138
62,51,757,-138
63,51,758,-135
66,53,758,-142
65,53,758,-139
68,50,761,-136
69,51,760,-138
66,53,760,-140
64,55,761,-137
62,52,760,-140
64,56,756,-138
64,50,758,-137
64,53,761,-137
64,56,757,-138
62,53,759,-142
65,51,759,-138
65,49,757,-135
64,51,756,-138
64,51,756,-137
64,55,757,-138
62,53,755,-139
67,52,757,-136
64,52,759,-137
65,47,762,-140
69,52,755,-141
67,50,757,-135
61,54,754,-139
62,51,758,-141
64,51,760,-138
65,49,760,-137
63,48,760,-137
62,54,759,-139
63,54,757,-138
61,51,759,-136
66,52,758,-139
68,51,757,-140
67,53,756,-133
66,51,757,-136
68,53,758,-138
70,54,755,-137
66,54,754,-134
66,52,756,-143
63,49,762,-142
62,49,761,-136
65,47,765,-135
70,49,765,-138
68,51,763,-142
66,52,759,-136
67,53,758,-137
66,52,757,-140
66,55,756,-140
65,52,759,-137
64,53,758,-138
63,55,758,-140
65,53,756,-141
68,53,759,-141
69,49,763,-139
64,47,763,-135
68,48,760,-137
65,52,761,-138
63,54,759,-139
63,48,763,-138
63,49,763,-139
66,49,759,-139
65,54,757,-140
61,52,757,-140
64,48,758,-140
65,48,760,-138
62,50,762,-142
66,55,760,-144
69,51,758,-141
62,49,758,-139
65,51,759,-138
67,51,754,-139
65,47,758,-137
63,51,756,-138
65,51,758,-138
67,53,757,-136
67,51,759,-140
70,51,761,-140
61,49,757,-139
61,48,758,-136
62,52,756,-135
60,53,758,-139
62,52,759,-139
65,46,761,-134
63,47,761,-136
62,48,759,-140
68,49,761,-140
67,50,758,-138
65,49,757,-137
63,53,755,-142
61,55,756,-138
62,51,757,-139
65,48,763,-139
66,47,760,-138
64,50,759,-139
64,50,759,-140
65,48,759,-140
62,49,757,-136
66,51,758,-139
67,46,761,-138
65,50,760,-137
65,47,759,-138
67,49,756,-138
69,48,760,-139
68,49,760,-138
65,49,758,-137
66,49,760,-142
66,48,760,-139
64,49,760,-136
64,49,757,-135
64,49,758,-139
66,54,756,-140
63,49,761,-140
64,54,755,-138
67,49,755,-139
66,47,759,-140
64,48,759,-136
67,47,762,-136
65,55,752,-136
64,52,756,-136
64,52,756,-138
61,48,761,-137
64,49,760,-139
67,48,761,-136
66,49,759,-140
61,50,761,-142
65,49,759,-141
63,53,759,-138
66,48,759,-140
68,52,755,-135
62,51,757,-137
65,50,760,-140
70,47,760,-143
69,53,757,-138
68,48,758,-139
64,48,759,-138
63,54,757,-141
62,57,756,-139
67,57,753,-138
67,52,755,-140
66,48,759,-142
65,46,759,-138
67,53,757,-138
63,51,758,-141
64,50,757,-139
60,49,758,-140
60,51,757,-139
65,56,753,-141
66,51,758,-141
67,50,758,-139
65,50,758,-138
66,48,758,-137
66,52,756,-140
65,52,756,-139
62,54,755,-138
64,48,758,-141
68,48,758,-138
65,49,759,-135
63,49,760,-136
62,51,757,-138
67,49,759,-136
65,50,758,-135
64,54,756,-138
62,51,756,-142
66,54,755,-138
66,49,760,-139
62,44,764,-138
65,45,764,-140
64,51,760,-139
65,54,756,-137
67,51,755,-139
69,49,759,-140
66,51,759,-141
65,54,757,-139
67,52,757,-140
62,53,756,-138
68,52,753,-137
67,52,753,-136
70,51,757,-140
69,47,760,-138
66,48,760,-141
63,51,759,-141
59,53,757,-136
62,50,763,-136
66,50,759,-137
62,52,755,-139
57,54,754,-140
60,54,753,-139
62,52,756,-138
66,50,757,-137
66,48,755,-137
66,53,756,-138
64,52,758,-138
64,50,758,-141
65,46,763,-137
63,48,759,-138
62,51,758,-138
66,46,760,-143
66,48,757,-145
63,51,758,-138
63,51,757,-137
65,52,756,-139
67,56,756,-137
62,52,756,-138
63,50,756,-137
62,48,756,-137
61,52,754,-138
62,50,757,-139
62,48,758,-139
67,50,757,-140
67,53,753,-136
64,52,756,-135
64,51,760,-138
67,45,759,-139
67,47,757,-137
65,48,756,-141
64,53,756,-136
68,51,755,-137
63,53,754,-138
65,52,759,-143
67,50,760,-140
68,53,757,-136
69,50,759,-139
61,53,754,-136
63,52,757,-134
66,58,753,-139
62,53,757,-141
62,51,754,-139
64,51,756,-136
66,51,756,-135
67,53,755,-143
66,49,755,-142
66,48,756,-140
66,50,753,-140
66,48,758,-139
70,49,754,-139
66,51,755,-140
68,53,756,-143
67,52,756,-139
64,49,758,-141
64,48,758,-139
67,49,758,-137
66,51,757,-135
65,53,755,-141
61,48,757,-141
62,51,757,-138
67,48,759,-139
67,48,760,-138
67,46,760,-140
66,51,756,-139
65,51,755,-142
64,52,759,-137
64,51,755,-138
65,51,754,-138
60,48,757,-138
67,47,761,-138
67,51,757,-136
65,52,756,-134
66,50,759,-136
65,44,764,-137
67,48,758,-140
66,51,760,-140
63,53,755,-136
64,50,757,-140
63,49,759,-138
65,51,758,-139
61,48,758,-137
62,48,754,-141
65,48,758,-140
64,50,756,-142
65,46,758,-139
64,47,759,-139
66,53,756,-139
68,55,753,-138
65,51,757,-139
63,48,759,-136
64,54,755,-137
66,53,756,-140
69,49,761,-137
66,44,762,-138
64,47,762,-137
58,53,758,-139
64,52,755,-139
66,57,749,-141
66,52,756,-138
63,51,757,-136
63,51,756,-140
66,54,755,-139
66,50,755,-137
70,52,753,-135
68,52,754,-139
64,52,753,-139
67,51,756,-138
68,51,757,-137
64,53,758,-138
57,51,757,-138
64,49,757,-139
65,50,755,-137
65,52,756,-137
64,51,756,-138
64,49,755,-138
64,50,758,-137
66,51,755,-138
63,51,755,-140
64,52,752,-142
63,49,758,-140
64,46,759,-137
63,49,755,-139
66,53,753,-137
62,52,753,-140
63,46,758,-135
68,47,760,-136
64,55,756,-140
64,50,759,-140
63,50,759,-140
66,48,759,-141
66,50,759,-140
62,47,758,-137
66,50,756,-139
65,53,756,-136
65,51,759,-138
63,51,760,-139
62,53,754,-136
64,52,756,-137
63,51,757,-139
64,51,757,-141
61,54,752,-140
66,51,754,-136
63,51,750,-136
66,48,754,-136
66,46,759,-138
65,47,756,-138
64,49,757,-134
69,53,754,-137
68,53,752,-141
67,52,753,-138
67,57,751,-139
68,54,753,-137
64,53,754,-136
64,51,756,-138
65,52,757,-138
67,52,757,-137
65,55,754,-137
64,56,752,-135
64,55,751,-138
61,51,753,-138
61,51,757,-139
63,51,753,-138
68,48,756,-136
69,48,758,-138
66,50,757,-139
67,45,760,-139
66,45,759,-139
64,49,757,-135
64,50,755,-138
64,53,756,-141
64,53,759,-140
64,51,755,-139
63,52,756,-138
65,52,754,-134
66,47,762,-135
65,52,759,-138
66,49,757,-140
66,49,758,-138
66,46,760,-138
63,53,755,-138
62,56,754,-137
62,50,754,-138
64,48,760,-140
64,50,759,-139
61,54,754,-137
62,51,754,-138
59,54,757,-138
63,52,756,-136
64,50,756,-138
64,47,757,-141
64,48,759,-140
62,46,760,-142
65,49,759,-140
64,49,756,-140
62,47,758,-140
63,51,757,-141
66,49,759,-137
68,51,757,-139
67,51,755,-137
65,47,759,-138
61,51,755,-139
63,51,754,-137
61,52,755,-138
62,52,753,-139
61,52,758,-139
63,54,754,-140
65,54,755,-140
63,51,759,-141
67,49,759,-140
68,51,759,-139
67,48,759,-137
67,48,757,-138
69,50,757,-137
69,48,759,-135
67,52,756,-137
63,50,755,-140
64,48,757,-139
63,48,755,-137
60,52,756,-137
66,50,756,-138
65,54,756,-139
66,55,754,-140
66,53,755,-137
66,49,759,-138
62,54,755,-137
59,51,753,-140
61,49,755,-139
62,49,758,-139
64,49,757,-139
70,49,756,-138
65,50,755,-139
66,51,755,-138
68,48,754,-137
67,51,755,-136
66,53,750,-136
65,54,752,-135
65,52,755,-141
65,50,756,-142
65,49,757,-140
65,51,752,-137
63,53,753,-138
66,52,754,-135
63,49,757,-136
63,48,757,-136
64,44,759,-140
67,44,757,-138
65,54,753,-135
65,56,753,-137
64,55,755,-139
67,52,758,-139
68,50,757,-138
64,48,758,-135
63,45,760,-134
65,46,762,-139
67,52,758,-142
68,51,757,-146
64,55,754,-140
61,51,752,-135
60,54,756,-139
63,51,756,-141
66,52,755,-138
64,48,758,-138
65,51,754,-135
65,52,755,-138
63,59,750,-142
62,54,757,-139
63,53,757,-136
65,56,750,-137
63,54,753,-134
63,48,759,-140
64,50,757,-138
64,53,754,-135
63,49,754,-137
66,46,758,-134
64,49,755,-135
64,49,753,-137
67,51,756,-138
64,52,757,-140
61,55,755,-141
63,50,756,-138
68,44,757,-137
68,42,758,-136
68,46,753,-137
66,50,755,-136
64,47,756,-141
65,50,758,-141
66,49,759,-136
66,50,756,-134
63,50,756,-137
61,52,754,-139
64,56,754,-137
67,53,755,-139
65,47,757,-137
66,52,756,-139
64,47,757,-139
67,49,758,-138
65,50,755,-136
67,53,752,-136
66,52,752,-136
63,50,756,-137
64,53,753,-139
65,55,754,-137
64,53,753,-135
61,50,758,-141
63,46,758,-141
